COD_ETU;Note : TLBC1004;Résultat : TLBC1004;Année : TLBC1004;Session : TLBC1004;FILIERE;ANNEE;MODULE;SEMESTRE
9007198;1.95  ;NV;2015;2;BCG;2015;LTBC1004;S1
12005967;0     ;NV;2015;2;BCG;2015;LTBC1004;S1
12011156;3 358 ;NV;2015;2;BCG;2015;LTBC1004;S1
12011600;10    ;V ;2013;2;BCG;2015;LTBC1004;S1
12011780;10 963;V ;2013;2;BCG;2015;LTBC1004;S1
12012403;10 518;V ;2013;2;BCG;2015;LTBC1004;S1
13011117;8 388 ;NV;2015;2;BCG;2015;LTBC1004;S1
13012363;10 304;V ;2015;2;BCG;2015;LTBC1004;S1
13012707;1 667 ;NV;2015;2;BCG;2015;LTBC1004;S1
13013061;8 904 ;NV;2015;2;BCG;2015;LTBC1004;S1
13013185;1 667 ;NV;2015;2;BCG;2015;LTBC1004;S1
13013972;2     ;NV;2015;2;BCG;2015;LTBC1004;S1
13014980;9.6   ;NV;2015;2;BCG;2015;LTBC1004;S1
14000062;8 075 ;NV;2015;2;BCG;2015;LTBC1004;S1
14000143;10.84 ;V ;2015;2;BCG;2015;LTBC1004;S1
14000237;10 517;V ;2015;2;BCG;2015;LTBC1004;S1
14000299;9 408 ;NV;2015;2;BCG;2015;LTBC1004;S1
14000339;9 213 ;NV;2015;2;BCG;2015;LTBC1004;S1
14000402;10 013;V ;2015;2;BCG;2015;LTBC1004;S1
14000458;9 972 ;NV;2015;2;BCG;2015;LTBC1004;S1
14000544;10 142;V ;2015;2;BCG;2015;LTBC1004;S1
14000700;11 747;V ;2015;1;BCG;2015;LTBC1004;S1
14001585;2     ;NV;2015;2;BCG;2015;LTBC1004;S1
14001987;10 383;V ;2015;1;BCG;2015;LTBC1004;S1
14004871;15.04 ;V ;2015;1;BCG;2015;LTBC1004;S1
14005963;7 145 ;NV;2015;2;BCG;2015;LTBC1004;S1
15000016;1     ;NV;2015;2;BCG;2015;LTBC1004;S1
15000047;12 117;V ;2015;2;BCG;2015;LTBC1004;S1
15000075;16 562;V ;2015;1;BCG;2015;LTBC1004;S1
15000095;11 708;V ;2015;2;BCG;2015;LTBC1004;S1
15000140;10 381;NV;2015;2;BCG;2015;LTBC1004;S1
15000177;10 367;V ;2015;2;BCG;2015;LTBC1004;S1
15000225;0     ;NV;2015;2;BCG;2015;LTBC1004;S1
15000251;8 917 ;NV;2015;2;BCG;2015;LTBC1004;S1
15000285;12.55 ;V ;2015;2;BCG;2015;LTBC1004;S1
15000334;6 779 ;NV;2015;2;BCG;2015;LTBC1004;S1
15000367;10 004;V ;2015;2;BCG;2015;LTBC1004;S1
15000412;12 258;V ;2015;2;BCG;2015;LTBC1004;S1
15000560;6 929 ;NV;2015;2;BCG;2015;LTBC1004;S1
15000765;10 011;V ;2015;2;BCG;2015;LTBC1004;S1
15001029;7 367 ;NV;2015;2;BCG;2015;LTBC1004;S1
15001088;5 582 ;NV;2015;2;BCG;2015;LTBC1004;S1
15002550;12 347;V ;2015;1;BCG;2015;LTBC1004;S1
15004518;12 276;V ;2015;1;BCG;2015;LTBC1004;S1
15005199;1.25  ;NV;2015;2;BCG;2015;LTBC1004;S1
15005561;9 774 ;NV;2015;2;BCG;2015;LTBC1004;S1
15005640;0     ;NV;2015;2;BCG;2015;LTBC1004;S1
15006364;11 467;V ;2015;2;BCG;2015;LTBC1004;S1
15008223;4 844 ;NV;2015;2;BCG;2015;LTBC1004;S1
10048490;7     ;AC;2013;2;BCG;2015;TLBC1204;S1
12006411;0     ;NR;2015;1;BCG;2015;TLBC1204;S1
12011179;7     ;AC;2013;1;BCG;2015;TLBC1204;S1
12011621;0     ;NR;2015;1;BCG;2015;TLBC1204;S1
12011789;7     ;AC;2013;1;BCG;2015;TLBC1204;S1
12012449;7.5   ;AC;2013;1;BCG;2015;TLBC1204;S1
13011439;11.2  ;V ;2014;1;BCG;2015;TLBC1204;S1
13012396;2.9   ;NR;2015;1;BCG;2015;TLBC1204;S1
13012743;8     ;AC;2013;2;BCG;2015;TLBC1204;S1
13013098;3.1   ;NR;2015;1;BCG;2015;TLBC1204;S1
13013278;2.1   ;NR;2015;1;BCG;2015;TLBC1204;S1
13014089;0     ;NR;2015;1;BCG;2015;TLBC1204;S1
13014993;10    ;V ;2014;2;BCG;2015;TLBC1204;S1
14000067;4.65  ;NR;2015;1;BCG;2015;TLBC1204;S1
14000146;2.94  ;NR;2015;1;BCG;2015;TLBC1204;S1
14000243;10    ;V ;2015;1;BCG;2015;TLBC1204;S1
14000301;10.1  ;V ;2015;1;BCG;2015;TLBC1204;S1
14000349;15    ;V ;2015;1;BCG;2015;TLBC1204;S1
14000408;15.9  ;V ;2015;1;BCG;2015;TLBC1204;S1
14000466;10.6  ;V ;2015;1;BCG;2015;TLBC1204;S1
14000596;.6    ;NR;2015;1;BCG;2015;TLBC1204;S1
14000786;0     ;NR;2015;1;BCG;2015;TLBC1204;S1
14001602;4.2   ;NR;2015;1;BCG;2015;TLBC1204;S1
14002050;10    ;V ;2015;2;BCG;2015;TLBC1204;S1
14004990;0     ;NR;2015;1;BCG;2015;TLBC1204;S1
14006137;10    ;V ;2015;2;BCG;2015;TLBC1204;S1
15000026;10    ;V ;2015;2;BCG;2015;TLBC1204;S1
15000052;10.05 ;V ;2015;1;BCG;2015;TLBC1204;S1
15000079;17    ;V ;2015;1;BCG;2015;TLBC1204;S1
15000097;13.3  ;V ;2015;1;BCG;2015;TLBC1204;S1
15000144;6     ;NV;2015;2;BCG;2015;TLBC1204;S1
15000194;13.85 ;V ;2015;1;BCG;2015;TLBC1204;S1
15000229;.8    ;NR;2015;1;BCG;2015;TLBC1204;S1
15000254;2.1   ;NR;2015;1;BCG;2015;TLBC1204;S1
15000292;17    ;V ;2015;1;BCG;2015;TLBC1204;S1
15000340;10    ;V ;2015;2;BCG;2015;TLBC1204;S1
15000378;4.5   ;NR;2015;1;BCG;2015;TLBC1204;S1
15000415;5.04  ;NV;2015;2;BCG;2015;TLBC1204;S1
15000592;10.3  ;V ;2015;1;BCG;2015;TLBC1204;S1
15000834;4.2   ;NR;2015;1;BCG;2015;TLBC1204;S1
15001034;17.2  ;V ;2015;1;BCG;2015;TLBC1204;S1
15001441;12.7  ;V ;2015;1;BCG;2015;TLBC1204;S1
15003208;1.2   ;NR;2015;1;BCG;2015;TLBC1204;S1
15004540;11.8  ;V ;2015;1;BCG;2015;TLBC1204;S1
15005359;10    ;V ;2015;2;BCG;2015;TLBC1204;S1
15005588;7.5   ;AC;2015;2;BCG;2015;TLBC1204;S1
15005642;10    ;V ;2015;2;BCG;2015;TLBC1204;S1
15006793;1.95  ;NR;2015;1;BCG;2015;TLBC1204;S1
15008225;1.2   ;NR;2015;1;BCG;2015;TLBC1204;S1
11010373;;;;;BCG;2015;TLBC1404;S1
12007338;0     ;NR;2015;1;BCG;2015;TLBC1404;S1
12011212;;;;;BCG;2015;TLBC1404;S1
12011644;0     ;NR;2015;1;BCG;2015;TLBC1404;S1
12011867;;;;;BCG;2015;TLBC1404;S1
12012558;3.25  ;NR;2015;1;BCG;2015;TLBC1404;S1
13011712;0     ;NR;2015;1;BCG;2015;TLBC1404;S1
13012427;0     ;NR;2015;1;BCG;2015;TLBC1404;S1
13012803;;;;;BCG;2015;TLBC1404;S1
13013122;0     ;NR;2015;1;BCG;2015;TLBC1404;S1
13013602;0     ;NR;2015;1;BCG;2015;TLBC1404;S1
13014121;0     ;NR;2015;1;BCG;2015;TLBC1404;S1
13015390;0     ;NR;2015;1;BCG;2015;TLBC1404;S1
14000083;13 175;V ;2015;1;BCG;2015;TLBC1404;S1
14000150;10 913;V ;2015;1;BCG;2015;TLBC1404;S1
14000253;10    ;V ;2015;2;BCG;2015;TLBC1404;S1
14000306;10    ;V ;2015;2;BCG;2015;TLBC1404;S1
14000366;14 864;V ;2015;1;BCG;2015;TLBC1404;S1
14000409;8     ;NV;2015;2;BCG;2015;TLBC1404;S1
14000471;10    ;V ;2015;2;BCG;2015;TLBC1404;S1
14000611;10    ;V ;2015;2;BCG;2015;TLBC1404;S1
14000791;10    ;V ;2015;2;BCG;2015;TLBC1404;S1
14001604;1.36  ;NR;2015;1;BCG;2015;TLBC1404;S1
14002310;11 326;V ;2015;1;BCG;2015;TLBC1404;S1
14005055;0     ;NR;2015;1;BCG;2015;TLBC1404;S1
14006142;4 067 ;NR;2015;1;BCG;2015;TLBC1404;S1
15000030;10 913;V ;2015;1;BCG;2015;TLBC1404;S1
15000056;10    ;V ;2015;2;BCG;2015;TLBC1404;S1
15000082;10    ;V ;2015;2;BCG;2015;TLBC1404;S1
15000104;10    ;V ;2015;2;BCG;2015;TLBC1404;S1
15000150;10    ;V ;2015;2;BCG;2015;TLBC1404;S1
15000199;3 006 ;NR;2015;1;BCG;2015;TLBC1404;S1
15000233;10    ;V ;2015;2;BCG;2015;TLBC1404;S1
15000256;10 028;V ;2015;1;BCG;2015;TLBC1404;S1
15000299;6 575 ;NV;2015;2;BCG;2015;TLBC1404;S1
15000344;7.8   ;AC;2015;2;BCG;2015;TLBC1404;S1
15000384;10    ;V ;2015;2;BCG;2015;TLBC1404;S1
15000420;10    ;V ;2015;2;BCG;2015;TLBC1404;S1
15000612;10.15 ;V ;2015;1;BCG;2015;TLBC1404;S1
15000980;0     ;NR;2015;1;BCG;2015;TLBC1404;S1
15001043;1.97  ;NR;2015;1;BCG;2015;TLBC1404;S1
15001454;.488  ;NR;2015;1;BCG;2015;TLBC1404;S1
15003215;7.9   ;NV;2015;2;BCG;2015;TLBC1404;S1
